,discipline,department,course_code,level,course_title,description,description_length,complexity,num_questions,num_pronouns,student_references,informality,enrollment,logistics,crosslisted,DIAP,WRIT,FYS,SOPH,notes
10,stem,APMA,APMA 1681,1,Computational Neuroscience,"A lecture and computing lab course providing an introduction to quantitative analysis of neural activity and encoding, as well as modeling of neurons and neural systems. Emphasizes Matlab-based computer simulation. ",30,13.95,0,0,0,0.0,4,"Prerequisites: NEUR 0010, 1020 or 1030; APMA 1650 or equivalent; APMA 0330 or 0350 or equivalent. Experience with Matlab desirable. Please request an override through C@B. Please keep in mind that decisions on overrides may not be made until the first meeting of the course.",NEUR 1680,,0,,,
11,stem,APMA,APMA 1690,1,Computational Probability and Statistics,"Examination of probability theory and mathematical statistics from the perspective of computing. Topics selected from random number generation, Monte Carlo methods, limit theorems, stochastic dependence, Bayesian networks, dimensionality reduction. ",29,-27.85,0,0,0,0.0,110,"Prerequistes: A calculus-based course in probability or statistics (e.g. APMA1650 or MATH1610) is required, and some programming experience is strongly recommended. Prerequisite: MATH 0100, 0170, 0180, 0190, 0200, or 0350, or equivalent placement.",,,0,,,
12,stem,APMA,APMA 1710,1,Information Theory,"Information theory is the study of the fundamental limits of information transmission and storage. This course, intended primarily for advanced undergraduates and beginning graduate students, offers a broad introduction to information theory and its applications: Entropy and information, lossless data compression, communication in the presence of noise, channel capacity, channel coding, source-channel separation, lossy data compression. ",56,-7.71,0,0,1,0.017857142857142856,34,Prerequisite: one course in probability.,,,0,,,
13,stem,APMA,APMA 1930T,1,Waves,"The seminar will discuss a diverse sample of wave phenomena encountered in physics, biology and other aspects of common experience, which are modeled through differential equations, and will demonstrate how the marvelous mathematics emerging from the study of these equations contribute to our understanding of the underlying phenomena. ",48,-2.63,0,1,0,0.020833333333333332,5,"Students are expected to have some familiarity with the theory of partial differential equations, at the level of APMA 0360.",,,0,,,
14,stem,APMA,APMA 1930U,1,Introduction to Stochastic Differential Equations,"This seminar course serves as an introduction to stochastic differential equations at the senior undergraduate level. Topics covered include Brownian motion and white noise, stochastic integrals, the Itô calculus, existence and uniqueness of solutions to Itô stochastic differential equations, and the Feynman-Kac formula. Several applications, including stochastic control theory and continuous MCMC optimization methods, may be addressed depending on the interests of the class and time restrictions.",67,15.0,0,0,0,0.0,53,,,,0,,,
15,stem,APMA,APMA 2080,2,Inference in Genomics and Molecular Biology,"Sequencing of genomes has generated a massive quantity of fundamental biological data. We focus on drawing traditional and Bayesian statistical inferences from these data, including: motif finding; hidden Markov models; other probabilistic models, significances in high dimensions; and functional genomics. Emphasis is on the application of probability theory to inferences on data sequence with the goal of enabling students to independently construct probabilistic models in setting novel to them. Statistical topics: Bayesian inference, estimation, hypothesis testing and false discovery rates, statistical decision theory. ",83,-0.41,0,0,1,0.012048192771084338,1,"For 2,000-level credit enroll in 2080; for 1,000-level credit enroll in 1080.",APMA 1080,,0,,,
16,stem,APMA,APMA 2110A,2,Real Function Theory,"Real numbers, outer measures, measures, Lebesgue measure, integrals of measurable functions, Holder and Minkowski inequalities, modes of onvergence, L^p spaces, product measures, Fubini's Theorem, signed measures, Radon-Nikodym theorem, dual space of L^p and of C, Hausdorff measure.",37,8.54,0,0,0,0.0,33,,MATH 2210,,0,,,
17,stem,APMA,APMA 2190,2,Nonlinear Dynamical Systems: Theory and Applications,"Basic theory of ordinary differential equations, flows, and maps. Two-dimensional systems. Linear systems. Hamiltonian and integrable systems. Lyapunov functions and stability. Invariant manifolds, including stable, unstable, and center manifolds. Bifurcation theory and normal forms. Nonlinear oscillations and the method of averaging. Chaotic motion, including horseshoe maps and the Melnikov method. Applications in the physical and biological sciences.",57,13.51,0,0,0,0.0,12,,,,0,,,
18,stem,APMA,APMA 2230,2,Partial Differential Equations,"The theory of the classical partial differential equations, as well as the method of characteristics and general first order theory. Basic analytic tools include the Fourier transform, the theory of distributions, Sobolev spaces, and techniques of harmonic and functional analysis. More general linear and nonlinear elliptic, hyperbolic, and parabolic equations and properties of their solutions, with examples drawn from physics, differential geometry, and the applied sciences. Generally, semester II of this course concentrates in depth on several special topics chosen by the instructor.",83,16.52,0,0,0,0.0,11,Some knowledge of computer programming expected.,,,0,,,
19,stem,APMA,APMA 2550,2,Numerical Solution of Partial Differential Equations I,"Finite difference methods for solving time-dependent initial value problems of partial differential equations. Fundamental concepts of consistency, accuracy, stability and convergence of finite difference methods will be covered. Associated well-posedness theory for linear time-dependent PDEs will also be covered. ",39,-0.95,0,0,0,0.0,23,,,,0,,,
20,stem,APMA,APMA 2580A,2,Computational Fluid Dynamics,"The course will focus primarily on finite difference methods for viscous incompressible flows. Other topics will include multiscale methods, e.g. molecular dynamics, dissipative particle dynamics and lattice Boltzmann methods. We will start with the mathematical nature of the Navier-Stokes equations and their simplified models, learn about high-order explicit and implicit methods, time stepping, and fast solvers. We will then cover advection-diffusion equations and various forms of the Navier-Stokes equations in primitive variables and in vorticity/streamfunction formulations. In addition to the homeworks the students are required to develop a Navier-Stokes solver as a final project.",94,27.01,0,0,1,0.010638297872340425,5,,,,0,,,
21,stem,APMA,APMA 2630,2,Theory of Probability,"Part one of a two semester course that provides an introduction to probability theory based on measure theory. The first semester (APMA 2630) covers the following topics: countable state Markov chains, review of real analysis and metric spaces, probability spaces, random variables and measurable functions, Borel-Cantelli lemmas, weak and strong laws of large numbers, conditional expectation and beginning of discrete time martingale theory. ",63,14.12,0,0,0,0.0,25,"Prerequisites—undergraduate probability and analysis, co-requisite—graduate real analysis.",,,0,,,
22,stem,APMA,APMA 2670,2,Mathematical Statistics I,"This course presents advanced statistical inference methods. Topics include: foundations of statistical inference and comparison of classical, Bayesian, and minimax approaches, point and set estimation, hypothesis testing, linear regression, linear classification and principal component analysis, MRF, consistency and asymptotic normality of Maximum Likelihood and estimators, statistical inference from noisy or degraded data, and computational methods (E-M Algorithm, Markov Chain Monte Carlo, Bootstrap). ",62,-19.22,0,0,0,0.0,5,Prerequisite: APMA 2630 or equivalent.,,,0,,,
23,stem,APMA,APMA 2811Z,2,Stochastic Partial Differential Equations: Theory and Numerics,"This course introduces basic theory and numerics of stochastic partial differential equations (SPDEs). Topics include Brownian motion and stochastic calculus in Hilbert spaces, classification of SPDEs and solutions, stochastic elliptic, hyperbolic and parabolic equations, regularity of solutions, linear and nonlinear equations, analytic and numerical methods for SPDEs. Topics of particular interest will also be discussed upon agreements between the instructor and audience. ",62,-0.31,0,0,0,0.0,3,"All three courses APMA 2630, APMA 2640, APMA 2550 are background recommended but not required.",,,0,,,
24,stem,APMA,APMA 2812A,2,An Introduction to Stochastic Control,"This is a course on the optimal control of random processes. Much of the course will focus on discrete time and optimal control of Markov chains (also called Markov Decision Theory in the context of Reinforcement Learning). Various optimality criteria are introduced and questions of existence of optimal controls and their characterization are addressed. Applications from finance, engineering and optimal stopping will be developed, and well as methods for numerical solution. Depending on interests and background, models that evolve in continuous time and/or with partial observations will also be considered. ",90,27.83,0,0,0,0.0,13,Prerequisites: APMA 2630/2640.,,,0,,,
25,stem,APMA,APMA 2812B,2,An Introduction to SPDE's,"An introduction to the basic theory of Stochastic PDE's. Topics will likely include (time permitting) Gaussian measure theory, stochastic integration, stochastic convolutions, stochastic evolution equations in Hilbert spaces, Ito's formula, local well-posedness for semi-linear SPDE with additive noise, weak Martingale solutions to 3D Navier-Stokes, Markov processes on Polish spaces, the Krylov–Bogolyubov theorem, the Doob-Khasminskii theorem, and Bismut-Elworthy-Li formula for a class of non-degenerate SPDE. ",64,-3.31,0,0,0,0.0,4,"The presentation will be largely self contained, but will assume some basic knowledge in measure theory, functional analysis, and probability theory. Some familiarity with SDE and PDE is also very helpful, but not required.",,,0,,,
26,stem,APMA,DATA 1010,1,"Probability, Statistics, and Machine Learning","An introduction to the mathematical methods of data science through a combination of computational exploration, visualization, and theory. Students will learn scientific computing basics, topics in numerical linear algebra, mathematical probability (probability spaces, expectation, conditioning, common distributions, law of large numbers and the central limit theorem), statistics (point estimation, confidence intervals, hypothesis testing, maximum likelihood estimation, density estimation, bootstrapping, and cross-validation), and machine learning (regression, classification, and dimensionality reduction, including neural networks, principal component analysis, and unsupervised learning).",78,-52.72,0,0,0,0.0,37,,,,0,,,
27,stem,CHEM,CHEM 0080B,0,Molecular Structures in Chemistry and Biology,"This course will consist of a survey of historical developments and concepts of three dimensional structures of molecules. The course will conclude with a survey of the current state of the art of structure determination and 3D structure motifs for small molecules, nanomaterials and biological macromolecules. ",46,31.21,0,0,0,0.0,10,This freshman only seminar will be strictly limited to a maximum of 19 students.,,,0,TRUE,,"1 lecture section, 6 conference sections"
28,stem,CHEM,CHEM 0100,0,Introductory Chemistry,"Explores stoichiometry, atomic and molecular structure, chemical bonding, solutions, gases, chemical reactions, equilibria, thermochemistry. ",14,-44.26,0,0,0,0.0,135,"Three hours of lecture, one conference per week, no laboratory section. S/NC.",,,0,,,
29,stem,CHEM,CHEM 0330,0,"Equilibrium, Rate, and Structure","Explores the electronic structure of atoms and molecules, thermodynamics, solution equilibrium, electrochemistry, chemical kinetics, and reaction mechanisms. ",17,-30.39,0,0,0,0.0,431,Course includes lecture and laboratory sections. Laboratory cannot be taken without the lecture. Students who previously passed 0330 lab may be excused from repeating the lab portion of the course. Required background: CHEM 0100 or AP Chemistry 4 or CHEM Placement Test 8 or IBC Chemistry.,,,0,,,2 sections; Separate lab CHEM 0330L
30,stem,CHEM,CHEM 0360,0,Organic Chemistry,"Sequel to CHEM 0350. Investigates the constitution and properties of organic compounds at a fundamental level with an introduction to physical organic, bioorganic, and synthetic organic chemistry. Laboratory work is concerned with the identification and characterization of organic compounds, including modern instrumental methods.",43,-2.27,0,0,0,0.0,262,"Three hours of lecture and five hours of prelaboratory and laboratory. Prerequisite: CHEM 0350. Students MUST register for a lecture section, a lab and a conference. If you previously completed CHEM 0360 laboratory but received a grade of no credit in the course, please register for lab section 11.",,,0,,,Separate lab CHEM 0360L
31,stem,CHEM,CHEM 0999,0,Chemistry and Art,"“Chemistry and Art” is an interdisciplinary course that explores different chemical concepts and techniques through the lenses of art and art history. The topics covered include paint and painting, stained glass; pottery and porcelains; gemstones and jewelry; color and art conservation. Drawing from early artistic texts, we will take a historically informed approach, connecting medieval stained-glass techniques, early pigmentation sourcing, and Qin dynasty pottery work to modern chemical explanations. Throughout the course, lectures, discussions, hands-on activities, and writing are totally integrated and the chemistry principles and techniques behind art objects and art-making are introduced through a series of case studies. ",100,29.18,0,1,0,0.01,13,Students are asked to request overrides through Courses@Brown. Overrides will be granted after the first day of the class.,STS 0770A,,1,,,
32,stem,CHEM,CHEM 1060,1,Advanced Inorganic Chemistry,Covers the physical and chemical properties of transition metal compounds as well as current research topics in inorganic chemistry. Laboratory is designed for the practice of modern inorganic chemistry through the synthesis and spectroscopic characterization of air-sensitive transition metal compounds. ,40,0.42,0,0,0,0.0,13,Prerequisite: CHEM 0500.,,,0,,,
33,stem,CHEM,CHEM 1140,1,Physical Chemistry: Quantum Chemistry,An introduction to the quantum theory of chemical systems. Elements of quantum mechanics; electronic structure of atoms and molecules; study of molecular structure and behavior by spectroscopy; chemical bonding are all explored. ,32,29.86,0,0,0,0.0,27,"Prerequisites: CHEM 0330, MATH 0180 or equivalent, PHYS 0030 and PHYS 0040 or PHYS 0050 and PHYS 0060 or PHYS 0070 and PHYS 0470 or ENGN 0030 and ENGN 0040.",,,0,,,
34,stem,CHEM,CHEM 1240,1,Biochemistry,"Examines the chemical, mechanistic, and structural basis for enzymatic catalysis. Uses examples from the recent literature to examine how the experimental and conceptual tools of chemical synthesis, isotopic labeling, stereochemistry, enzymology, kinetics, and protein structure can be brought to bear to unravel the chemical and physical principles underlying the enormous catalytic acceleration and exquisite structural specificity of enzyme-catalyzed reactions. ",59,-17.7,0,0,0,0.0,28,"Prerequisites: Strong background in organic chemistry (CHEM 0360, A or B performance preferable) plus at least one semester of Biochemistry (BIOL 0280). Enrollment limited to: 25 students, written permission required.",,,0,,,
35,stem,CHEM,CHEM 1560N,1,Organometallic Chemistry,"Modern organometallic chemistry continues to find unique applications including next generation lighting displays, therapeutics and imaging, energy science, and green chemical synthesis. In this course we will briefly review fundamentals of inorganic chemistry (MO theory, ligand field theory, Pearson’s HSAB theory), and then delve into the structure, bonding, synthesis, reactivity, and mechanisms associated with organometallic complexes and their associated applications. Significant emphasis will be placed on effective oral and written communication skills, with frequent peer and instructor feedback provided. ",79,2.48,0,1,0,0.012658227848101266,3,"Prerequisites: CHEM 0360, CHEM 0500. PLEASE NOTE: This class is WRIT designated for Undergraduates Only. Graduate Students register for CHEM 2310.",CHEM 2310,,1,,,
36,stem,CHEM,CHEM 1700,1,Nanoscale Materials: Synthesis and Applications,"Focuses on synthesis, properties, and applications of nanoscale materials. It begins with the introduction to size-dependent properties and to general characterization methods of nanomaterials. It then outlines the synthesis, surface chemistry and self-assembly of nanomaterials. It further reviews catalytic, optical and magnetic properties of nanomateirals. Finally, the course highlights the applications of nanomaterials in information storage, energy conversion, and biomedicine. ",60,0.08,0,0,0,0.0,14,"Prerequisites : CHEM0350, PHYS 0030 or 0050, BIOL0280 recommended.",,,0,,,
37,stem,CHEM,CHEM 2010,2,Advanced Thermodynamics,"Fundamental principles of macroscopic equilibrium thermodynamics. The three laws of thermodynamics, the thermodynamic potentials, temperature scales, heat engines and refrigerators, entropy, kinetic theory, and transport phenomena. Applications to solids, fluids, and magnetic systems; Gibbs relations, first and second order phase traditions, thermal radiation, gas expansions.",45,-2.98,0,0,0,0.0,4,,,,0,,,
38,stem,CHEM,CHEM 2310,2,Organometallic Chemistry,"Modern organometallic chemistry continues to find unique applications including next generation lighting displays, therapeutics and imaging, energy science, and green chemical synthesis. In this course we will briefly review fundamentals of inorganic chemistry (MO theory, ligand field theory, Pearson’s HSAB theory), and then delve into the structure, bonding, synthesis, reactivity, and mechanisms associated with organometallic complexes and their associated applications. Significant emphasis will be placed on effective oral and written communication skills, with frequent peer and instructor feedback provided. ",79,2.48,0,1,0,0.012658227848101266,5,"Prerequisites: CHEM 0360, CHEM 0500. PLEASE NOTE: This class is WRIT designated for Undergraduates Only. Graduate Students register for CHEM 2310.",CHEM 1560N,,0,,,
39,stem,CHEM,CHEM 2410,2,Physical Organic Chemistry,"Detailed examination of organic reaction mechanisms, reactive intermediates, and the methods employed for their characterization (e.g., kinetics, free energy relationships, isotope effects, molecular orbital theory, spectroscopy, and product distributions). Topics may include concerted, free radical, elimination, and photochemical reactions, and the chemistry of radicals, carbocations, carbanions, and carbenes.",48,-20.57,0,0,0,0.0,1,,,,0,,,
40,stem,CHEM,CHEM 2420,2,Organic Reactions,Study of organic reactions and reaction mechanisms. Discussion and analysis of organic transformations. Topics can include arrow pushing strategies and synthetic methods.,22,21.77,0,0,0,0.0,2,,,,0,,,
41,stem,CHEM,CHEM 2770,2,Quantum Mechanics,"Semester I: Time independent quantum mechanics and its application to atomic and molecular problems. Discussions of modern theories of electronic structure, chemical bonding, and molecular spectroscopy. ",26,7.52,0,0,0,0.0,1,Prerequisite: CHEM 1140 or equivalent.,,,0,,,
42,stem,CHEM,CHEM 2870,2,Departmental Colloquia,,0,206.84,0,0,0,0.0,11,Open to first year chemistry graduate students only.,,,0,,,
43,stem,CHEM,STS 0770A,0,Chemistry and Art,"“Chemistry and Art” is an interdisciplinary course that explores different chemical concepts and techniques through the lenses of art and art history. The topics covered include paint and painting, stained glass; pottery and porcelains; gemstones and jewelry; color and art conservation. Drawing from early artistic texts, we will take a historically informed approach, connecting medieval stained-glass techniques, early pigmentation sourcing, and Qin dynasty pottery work to modern chemical explanations. Throughout the course, lectures, discussions, hands-on activities, and writing are totally integrated and the chemistry principles and techniques behind art objects and art-making are introduced through a series of case studies.",100,29.18,0,1,0,0.01,13,Students are asked to request overrides through Courses@Brown. Overrides will be granted after the first day of the class.,CHEM 0999,,0,,,
44,stem,CSCI,CSCI 0020,0,The Digital World,"Removes the mystery surrounding computers and the ever-growing digital world. Introduces a range of topics and many aspects of multimedia, along with explanations of the underlying digital technology and its relevance to our society. Other topics include artificial intelligence, IT security, ethics and the economics of computing as well as the effects of its pervasiveness in today’s world. Introductory programming and analytic skills are developed through HTML, Photoshop, Excel and Python assignments. CSCI 0020 is a good introduction to a wide range of CS topics that have broad relevance in our society. ",92,27.42,0,2,0,0.021739130434782608,300,No prerequisites.,,,0,,,
45,stem,CSCI,CSCI 0060,0,Practical System Skills,"An introduction to develop hands-on-computing skills necessary to comfortably work within a UNIX-like operating system. Topics include the shell, its filesystem, bash scripting, SSH, version control, as well as how to locally develop, deploy and publish a website.",38,35.27,0,0,0,0.0,12,,,,0,,,
46,stem,CSCI,CSCI 0100,0,Data Fluency for All,"This course is intended to introduce Brown students to computational techniques that data scientists use to tell stories. Data fluency encompasses both data literacy, the basics of statistics and machine learning, and data communication, which relies heavily on principles of design. Students will gain hands on experience using statistical tools such as 'R' to analyze real world data sets, and 'ggplot' to visualize them. Sample application domains include just about every field, since the only requirement is data, which there almost always are (e.g., the complete works of Shakespeare is a sample data set).",94,30.7,0,0,1,0.010638297872340425,74,,,,0,,,
47,stem,CSCI,CSCI 0111,0,Computing Foundations: Data,"An introduction to computing and programming that focuses on understanding and manipulating data. Students will learn to write programs to process both tabular and structured data, to assess programs both experimentally and theoretically, to apply basic data science concepts, and to discuss big ideas around the communication and use of digital information. Designed for both concentrators and non-concentrators, this is the first in an eventual three-course introductory sequence leading into advanced CS courses. Programming assignments will be smaller scale than in CSCI 0150/0170, thus allowing students time to practice programming and discuss computational ideas in a broader context.",98,21.23,0,0,1,0.01020408163265306,58,,,,0,,,
48,stem,CSCI,CSCI 0130,0,User Interfaces and User Experience,"Topics include understanding when to use different interfaces, modeling and representing user interaction, principles of user experience design, eliciting requirements and feedback from users, methods for designing and prototyping interfaces, and user interface evaluation. Students interested in learning the process behind building a user interface and gaining hands-on experience designing a user interface should take this course. Programming experience is unnecessary. There will be assignments, readings, and design labs. CSCI 0130 is the same lecture, labs, and readings as CSCI 1300 but half of the assignments will be different (CSCI 1300 will have assignments with computer science prerequisites).",98,26.2,0,0,0,0.0,108,,CSCI 1300,,0,,,
49,stem,CSCI,CSCI 0150,0,Introduction to Object-Oriented Programming and Computer Science,"Emphasizes object-oriented design and programming in Java, an effective modern technique for producing modular, reusable, internet-aware programs. Also introduces interactive computer graphics, user interface design and some fundamental data structures and algorithms. A sequence of successively more complex graphics programs, including Tetris, and culminating in a significant final project, helps provide a serious introduction to the field intended for both potential concentrators and those who may take only a single course. ",71,5.12,0,0,0,0.0,366,"No prerequisites, no prior knowledge of programming required.",,,0,,,
50,stem,CSCI,CSCI 0170,0,Computer Science: An Integrated Introduction,"CSCI0170/0180 is an introductory sequence that helps students begin to develop the skills, knowledge, and confidence to solve computational problems elegantly, correctly, efficiently, and with ease. The sequence is unique in teaching both the functional and imperative programming paradigms---the first through the languages Scheme and ML in CSCI0170; the second through Java in CSCI0180. The sequence requires no previous programming experience. Indeed, few high school students are exposed to functional programming; hence even students with previous programming experience often find this sequence an invaluable part of their education. Although students are taught to use programming languages as tools, the goal of CSCI0170/0180 is not merely to teach programming. On the contrary, the goal is to convey to students that computer science is much more than programming! All of the following fundamental computer science techniques are integrated into the course material: algorithms, data structures, analysis, problem solving, abstract reasoning, and collaboration. Concrete examples are drawn from different subareas of computer science: in 0170, from arbitrary-precision arithmetic, natural language processing, databases, and strategic games; in 0180, from discrete-event simulation, data compression, and client/server architectures.",182,31.41,0,0,5,0.027472527472527472,189,,,,0,,,
51,stem,CSCI,CSCI 0190,0,Accelerated Introduction to Computer Science,"A one-semester introduction to CS covering programming integrated with core data structures, algorithms, and analysis techniques, similar to the two-course introductory sequences (CSCI 0150-0160 and CSCI 0170-0180). ",27,18.69,0,0,0,0.0,59,"Students wishing to take CSCI 0190 must pass a a sequence of online placement assignments. Though the placement process is most appropriate for students who have had some prior programming experience, it is self-contained so all are welcome to try learning the provided material and attempting placement. Placement information will be available by June 1st",,,0,,,
52,stem,CSCI,CSCI 0330,0,Introduction to Computer Systems,"High-level computer architecture and systems programming. The course covers the organization of computer systems (in terms of storage units, caches, processors, and I/O controllers) and teaches students assembly-language programming and C-language programming. Extensive programming exercises introduce students to systems-level programming on Unix systems, as well as to multi-threaded programming with POSIX threads. Students will be introduced to the functions of operating systems.",62,21.9,0,0,2,0.03225806451612903,357,"Prerequisite: CSCI 0150, 0180, or 0190.",,,0,,,
53,stem,CSCI,CSCI 1010,1,Theory of Computation,"The course introduces basic models of computation including languages, finite-state automata and Turing machines. Proves fundamental limits on computation (incomputability, the halting problem). Provides the tools to compare the hardness of computational problems (reductions). Introduces computational complexity classes (P, NP, PSPACE and others). ",43,9.75,0,0,0,0.0,42,Prerequisite: CSCI 0220 or 1450.,,,0,,,
54,stem,CSCI,CSCI 1230,1,Introduction to Computer Graphics,"Fundamental concepts in 2D and 3D computer graphics, e.g., 2D raster graphics techniques, simple image processing, and user interface design. Focuses on geometric transformations, and 3D modeling, viewing and rendering. A sequence of assignments in C++ culminates in a simple geometric modeler and ray tracer.",45,30.87,0,0,0,0.0,56,"Prerequisite: CSCI 0160, CSCI 0180, or CSCI 0190. Some knowledge of basic linear algebra is helpful but not required. Strong object-oriented programming ability (e.g., in C++, Java or Python) is required.",,,0,,,Has a 1/2 credit lab CSCI 1234
55,stem,CSCI,CSCI 1250,1,Introduction to Computer Animation,"Introduction to 3D computer animation production including story writing, production planning, modeling, shading, animation, lighting, and compositing. The first part of the course leads students through progressive exercises that build on each other to learn basic skills in 2D and 3D animation. At each step, student work is evaluated for expressiveness, technical correctness and aesthetic qualities. Students then work in groups creating a polished short animation. Emphasis on in-class critique of ongoing work which is essential to the cycle of visually evaluating work in progress, determining improvements, and implementing them for further evaluation.",93,27.22,0,0,2,0.021505376344086023,20,Please see course website for application procedure.,,,0,,,
56,stem,CSCI,CSCI 1260,1,Compilers and Program Analysis,"Lexical analysis, syntactic analysis, semantic analysis, code generation, code optimization, translator writing systems. ",13,-43.25,0,0,0,0.0,8,Prerequisites: CSCI 0220 and 0320; 0510 is recommended.,,,0,,,
57,stem,CSCI,CSCI 1270,1,Database Management Systems,"Introduction to database structure, organization, languages, and implementation. Relational model, query languages, query processing, query optimization, normalization, file structures, concurrency control and recovery algorithms, and distributed databases. Coverage of modern applications such as the Web, but with emphasis on Database Management Systems internals. ",43,-2.27,0,0,0,0.0,68,"Prerequisites: CSCI 0160, CSCI 0180, or CSCI 0190. One of CSCI 0330 or CSCI 0320 is strongly recommended.",,,0,,,
58,stem,CSCI,CSCI 1300,1,User Interfaces and User Experience,"Topics include understanding when to use different interfaces, modeling and representing user interaction, principles of user experience design, eliciting requirements and feedback from users, methods for designing and prototyping interfaces, and user interface evaluation. Students interested in learning the process behind building a user interface and gaining hands-on experience designing a user interface should take this course. There will be assignments, readings, and design labs. CSCI 1300 and CS 0130 share the same lecture, labs, and readings but half of the assignments will be different (CSCI 1300 will have assignments with computer science prerequisites).",94,22.24,0,0,0,0.0,160,,CSCI 0130,,0,,,
